Model,CV Folds,Mean R2,Std R2,Mean RMSE,Std RMSE
Baseline Linear Model,2,0.13164206235451126,0.022933352203983626,0.4567269147890305,0.004156943911128502
Baseline Linear Model,3,0.17164595194528406,0.00983724826552341,0.44509448677378244,0.008421662279075506
Baseline Linear Model,5,0.15718808061536854,0.017130456155627877,0.4460573190920686,0.01964895337214215
Baseline Linear Model,7,0.17090905155954011,0.03357344058484374,0.44310543859281104,0.025810671364296007
Baseline Linear Model,10,0.15927398740206553,0.061678650346079764,0.4437755106381654,0.024629826832649308
Baseline Linear Model,20,0.1416681651822437,0.1163515898343398,0.44113449058908183,0.04000438108178352
Knn,2,0.1252926862161457,0.01997531627495075,0.44934873434209255,0.005189068718899875
Knn,3,0.14476007936526059,0.01659325719388326,0.44750530073967343,0.006915806682736854
Knn,5,0.12856547994867829,0.03583379185000041,0.44829011845420974,0.01809023067495684
Knn,7,0.1484085984007074,0.05095609750340899,0.44531198340078804,0.03198643776678483
Knn,10,0.1377021294351712,0.06227771529703669,0.44494389481306407,0.03319699601196223
Knn,20,0.11687787562078392,0.12222494699354847,0.4434957470867745,0.046544699959121215
Gradient Boosting,2,0.15772898715704592,0.022087773299743263,0.44318897597502216,0.004221407702847346
Gradient Boosting,3,0.180478354425648,0.03130471686795423,0.43923759038866356,0.0040879229016372335
Gradient Boosting,5,0.16784320110920764,0.03730771958367947,0.4392209494360658,0.023282112702225754
Gradient Boosting,7,0.18029227046947288,0.04693081026985872,0.43834294995510364,0.027663718978070944
Gradient Boosting,10,0.170615860404587,0.054787332172058334,0.43763842876912096,0.028518371533353695
Gradient Boosting,20,0.15019727470201605,0.0828744524478041,0.43707740047518906,0.04054190443808288
Svr,2,0.030908218953863947,0.04366489462282849,0.4796873020648871,0.014388449669277131
Svr,3,0.05090119378853292,0.04955073524160656,0.47619547243442667,0.003490275071899571
Svr,5,0.017228639452894025,0.06065753931699151,0.48436901196975735,0.01798305718311383
Svr,7,0.03495388808793725,0.05878411439951241,0.4811896992091401,0.023588905719547606
Svr,10,0.020286568535612504,0.07031983429961024,0.48413637667070397,0.03097325031813079
Svr,20,-0.0030935619181314544,0.11445930423108241,0.4814067758482145,0.04319207243325046
Random Forest,2,0.16259014056610646,0.04271231543657719,0.44244732183090274,0.00919019041870947
Random Forest,3,0.17656465545203184,0.03694741724598904,0.4408455466676287,0.006820268806028075
Random Forest,5,0.16578211687969518,0.04297209640456081,0.4405391685538345,0.022090071913083677
Random Forest,7,0.17576465928556662,0.05847027886826438,0.44003294735671045,0.027190006746687184
Random Forest,10,0.16469606977107834,0.06254331078157147,0.43927451916512944,0.02669322556084726
Random Forest,20,0.1427253592827292,0.10498467061569067,0.43829518013974217,0.042317865542574294
